date,market,open_interest,spec_long,spec_short,spec_net,hedger_long,hedger_short,hedger_net
2026-09-08,GOLD,411227,261007,29047,231960,54403,324677,-270274
2026-09-08,BTC,21083,17600,16076,1524,64,2125,-2061
2026-09-08,NQ,295151,85927,65032,20895,154226,195244,-41018
2026-09-15,GOLD,409899,258059,27721,230338,56417,318138,-261721
2026-09-15,BTC,20773,16744,14276,2468,107,2764,-2657
2026-09-15,NQ,325784,85062,51344,33718,175896,224754,-48858
2026-09-22,GOLD,412800,253982,28129,225853,57458,320361,-262903
2026-09-22,BTC,22315,17658,14902,2756,66,3175,-3109
2026-09-22,NQ,286321,88507,32357,56150,152580,218343,-65763
