date,symbol,close
2017-10-01,QQQ,143.75
2017-11-01,BTC,10233.60
2017-11-01,GLD,121.10
2017-11-01,QQQ,146.59
2017-12-01,BTC,14156.40
2017-12-01,GLD,123.65
2017-12-01,QQQ,147.47
2018-01-01,BTC,10221.10
2018-01-01,GLD,127.65
2018-01-01,QQQ,160.39
2018-02-01,BTC,10397.90
2018-02-01,GLD,125.00
2018-02-01,QQQ,158.31
2018-03-01,BTC,6973.53
2018-03-01,GLD,125.79
2018-03-01,QQQ,151.86
2018-04-01,BTC,9240.55
2018-04-01,GLD,124.59
2018-04-01,QQQ,152.62
2018-05-01,BTC,7494.17
2018-05-01,GLD,123.10
2018-05-01,QQQ,161.28
2018-06-01,BTC,6404.00
2018-06-01,GLD,118.65
2018-06-01,QQQ,163.13
2018-07-01,BTC,7780.44
2018-07-01,GLD,115.99
2018-07-01,QQQ,167.69
2018-08-01,BTC,7037.58
2018-08-01,GLD,113.51
2018-08-01,QQQ,177.38
2018-09-01,BTC,6625.56
2018-09-01,GLD,112.76
2018-09-01,QQQ,176.88
2018-10-01,BTC,6317.61
2018-10-01,GLD,115.15
2018-10-01,QQQ,161.68
2018-11-01,BTC,4017.27
2018-11-01,GLD,115.54
2018-11-01,QQQ,161.25
2018-12-01,BTC,3742.70
2018-12-01,GLD,121.25
2018-12-01,QQQ,147.29
2019-01-01,BTC,3457.79
2019-01-01,GLD,124.75
2019-01-01,QQQ,160.56
2019-02-01,BTC,3854.79
2019-02-01,GLD,123.99
2019-02-01,QQQ,165.36
2019-03-01,BTC,4105.40
2019-03-01,GLD,122.01
2019-03-01,QQQ,171.85
2019-04-01,BTC,5350.73
2019-04-01,GLD,121.20
2019-04-01,QQQ,181.30
2019-05-01,BTC,8574.50
2019-05-01,GLD,123.33
2019-05-01,QQQ,166.39
2019-06-01,BTC,10817.16
2019-06-01,GLD,133.20
2019-06-01,QQQ,179.02
2019-07-01,BTC,10085.63
2019-07-01,GLD,133.21
2019-07-01,QQQ,183.20
2019-08-01,BTC,9630.66
2019-08-01,GLD,143.75
2019-08-01,QQQ,179.72
2019-09-01,BTC,8293.87
2019-09-01,GLD,138.87
2019-09-01,QQQ,181.37
2019-10-01,BTC,9199.58
2019-10-01,GLD,142.43
2019-10-01,QQQ,189.31
2019-11-01,BTC,7569.63
2019-11-01,GLD,137.86
2019-11-01,QQQ,197.01
2019-12-01,BTC,7193.60
2019-12-01,GLD,142.90
2019-12-01,QQQ,204.67
2020-01-01,BTC,9350.53
2020-01-01,GLD,149.33
2020-01-01,QQQ,210.89
2020-02-01,BTC,8599.51
2020-02-01,GLD,148.38
2020-02-01,QQQ,198.12
2020-03-01,BTC,6438.64
2020-03-01,GLD,148.05
2020-03-01,QQQ,183.68
2020-04-01,BTC,8658.55
2020-04-01,GLD,158.80
2020-04-01,QQQ,211.19
2020-05-01,BTC,9461.06
2020-05-01,GLD,162.91
2020-05-01,QQQ,225.13
2020-06-01,BTC,9137.99
2020-06-01,GLD,167.37
2020-06-01,QQQ,239.28
2020-07-01,BTC,11323.47
2020-07-01,GLD,185.43
2020-07-01,QQQ,256.86
2020-08-01,BTC,11680.82
2020-08-01,GLD,184.83
2020-08-01,QQQ,284.97
2020-09-01,BTC,10784.49
2020-09-01,GLD,177.12
2020-09-01,QQQ,268.50
2020-10-01,BTC,13781.00
2020-10-01,GLD,176.20
2020-10-01,QQQ,260.33
2020-11-01,BTC,19625.84
2020-11-01,GLD,166.67
2020-11-01,QQQ,289.55
2020-12-01,BTC,29001.72
2020-12-01,GLD,178.36
2020-12-01,QQQ,303.74
2021-01-01,BTC,33114.36
2021-01-01,GLD,172.61
2021-01-01,QQQ,304.54
2021-02-01,BTC,45137.77
2021-02-01,GLD,161.81
2021-02-01,QQQ,304.13
2021-03-01,BTC,58918.83
2021-03-01,GLD,159.96
2021-03-01,QQQ,309.35
2021-04-01,BTC,57750.18
2021-04-01,GLD,165.66
2021-04-01,QQQ,327.64
2021-05-01,BTC,37332.86
2021-05-01,GLD,178.38
2021-05-01,QQQ,323.70
2021-06-01,BTC,35040.84
2021-06-01,GLD,165.63
2021-06-01,QQQ,343.97
2021-07-01,BTC,41626.20
2021-07-01,GLD,169.82
2021-07-01,QQQ,353.81
2021-08-01,BTC,47166.69
2021-08-01,GLD,169.69
2021-08-01,QQQ,368.74
2021-09-01,BTC,43790.89
2021-09-01,GLD,164.22
2021-09-01,QQQ,347.78
2021-10-01,BTC,61318.96
2021-10-01,GLD,166.65
2021-10-01,QQQ,375.13
2021-11-01,BTC,57005.43
2021-11-01,GLD,165.50
2021-11-01,QQQ,382.62
2021-12-01,BTC,46306.45
2021-12-01,GLD,170.96
