as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-08-25,QQQ,FLAT,-9.04,HIGH,90.52,95.08,5.038,WRONG,2015-08-26,BACKFILL
2015-08-26,BTC,FLAT,-9.49,HIGH,225.83,224.77,-0.469,RIGHT,2015-08-27,BACKFILL
2015-08-26,GLD,HELD,-4.91,MEDIUM,107.67,107.73,0.056,RIGHT,2015-08-27,BACKFILL
2015-08-26,QQQ,FLAT,-4.46,MEDIUM,95.08,97.49,2.535,WRONG,2015-08-27,BACKFILL
2015-08-27,BTC,FLAT,-9.9,HIGH,224.77,231.4,2.95,WRONG,2015-08-28,BACKFILL
2015-08-27,GLD,HELD,-4.77,MEDIUM,107.73,108.7,0.9,RIGHT,2015-08-28,BACKFILL
2015-08-27,QQQ,FLAT,-2.04,MEDIUM,97.49,97.47,-0.021,RIGHT,2015-08-28,BACKFILL
2015-08-28,BTC,FLAT,-7.14,HIGH,231.4,230.06,-0.579,RIGHT,2015-08-31,BACKFILL
2015-08-28,GLD,HELD,-3.83,MEDIUM,108.7,108.82,0.11,RIGHT,2015-08-31,BACKFILL
2015-08-28,QQQ,FLAT,-2.08,MEDIUM,97.47,96.26,-1.241,RIGHT,2015-08-31,BACKFILL
2015-08-31,BTC,FLAT,-7.59,HIGH,230.06,228.12,-0.843,RIGHT,2015-09-01,BACKFILL
2015-08-31,GLD,HELD,-3.63,MEDIUM,108.82,109.2,0.349,RIGHT,2015-09-01,BACKFILL
2015-08-31,QQQ,FLAT,-3.31,MEDIUM,96.26,93.25,-3.127,RIGHT,2015-09-01,BACKFILL
2015-09-01,BTC,FLAT,-8.36,HIGH,228.12,229.28,0.509,WRONG,2015-09-02,BACKFILL
2015-09-01,GLD,HELD,-3.21,MEDIUM,109.2,108.62,-0.531,WRONG,2015-09-02,BACKFILL
2015-09-01,QQQ,FLAT,-6.34,HIGH,93.25,95.88,2.82,WRONG,2015-09-02,BACKFILL
2015-09-02,BTC,FLAT,-7.88,HIGH,229.28,227.18,-0.916,RIGHT,2015-09-03,BACKFILL
2015-09-02,GLD,HELD,-3.66,MEDIUM,108.62,107.84,-0.718,WRONG,2015-09-03,BACKFILL
2015-09-02,QQQ,FLAT,-3.71,MEDIUM,95.88,95.41,-0.49,RIGHT,2015-09-03,BACKFILL
2015-09-03,BTC,FLAT,-8.73,HIGH,227.18,230.3,1.373,WRONG,2015-09-04,BACKFILL
2015-09-03,GLD,HELD,-4.26,MEDIUM,107.84,107.49,-0.325,WRONG,2015-09-04,BACKFILL
2015-09-03,QQQ,FLAT,-4.2,MEDIUM,95.41,94.28,-1.184,RIGHT,2015-09-04,BACKFILL
2015-09-04,BTC,FLAT,-7.45,HIGH,230.3,243.61,5.779,WRONG,2015-09-08,BACKFILL
2015-09-04,GLD,HELD,-4.49,MEDIUM,107.49,107.52,0.028,RIGHT,2015-09-08,BACKFILL
2015-09-04,QQQ,FLAT,-5.34,HIGH,94.28,96.93,2.811,WRONG,2015-09-08,BACKFILL
2015-09-08,BTC,FLAT,-2.15,MEDIUM,243.61,238.17,-2.233,RIGHT,2015-09-09,BACKFILL
2015-09-08,GLD,HELD,-4.39,MEDIUM,107.52,106.13,-1.293,WRONG,2015-09-09,BACKFILL
2015-09-08,QQQ,FLAT,-2.69,MEDIUM,96.93,95.85,-1.114,RIGHT,2015-09-09,BACKFILL
2015-09-09,BTC,FLAT,-4.36,MEDIUM,238.17,238.48,0.13,WRONG,2015-09-10,BACKFILL
2015-09-09,GLD,HELD,-5.54,HIGH,106.13,106.38,0.236,RIGHT,2015-09-10,BACKFILL
2015-09-09,QQQ,FLAT,-3.79,MEDIUM,95.85,96.89,1.085,WRONG,2015-09-10,BACKFILL
2015-09-10,BTC,FLAT,-4.29,MEDIUM,238.48,240.11,0.683,WRONG,2015-09-11,BACKFILL
2015-09-10,GLD,HELD,-5.23,HIGH,106.38,106.16,-0.207,WRONG,2015-09-11,BACKFILL
2015-09-10,QQQ,FLAT,-2.75,MEDIUM,96.89,97.42,0.547,WRONG,2015-09-11,BACKFILL
2015-09-11,BTC,FLAT,-3.68,MEDIUM,240.11,230.64,-3.944,RIGHT,2015-09-14,BACKFILL
2015-09-11,GLD,HELD,-5.35,HIGH,106.16,106.22,0.057,RIGHT,2015-09-14,BACKFILL
2015-09-11,QQQ,FLAT,-2.24,MEDIUM,97.42,97.13,-0.298,RIGHT,2015-09-14,BACKFILL
2015-09-14,BTC,FLAT,-7.51,HIGH,230.64,230.3,-0.147,RIGHT,2015-09-15,BACKFILL
2015-09-14,GLD,HELD,-5.23,HIGH,106.22,105.9,-0.301,WRONG,2015-09-15,BACKFILL
2015-09-14,QQQ,FLAT,-2.55,MEDIUM,97.13,98.27,1.174,WRONG,2015-09-15,BACKFILL
2015-09-15,BTC,FLAT,-7.67,HIGH,230.3,229.09,-0.525,RIGHT,2015-09-16,BACKFILL
2015-09-15,GLD,HELD,-5.44,HIGH,105.9,107.31,1.331,RIGHT,2015-09-16,BACKFILL
2015-09-15,QQQ,FLAT,-1.42,LOW,98.27,98.83,0.57,WRONG,2015-09-16,BACKFILL
2015-09-16,BTC,FLAT,-8.18,HIGH,229.09,229.81,0.314,WRONG,2015-09-17,BACKFILL
2015-09-16,GLD,HELD,-4.13,MEDIUM,107.31,108.41,1.025,RIGHT,2015-09-17,BACKFILL
2015-09-16,QQQ,FLAT,-0.87,LOW,98.83,98.86,0.03,WRONG,2015-09-17,BACKFILL
2015-09-17,BTC,FLAT,-7.91,HIGH,229.81,232.98,1.379,WRONG,2015-09-18,BACKFILL
2015-09-17,GLD,HELD,-3.09,MEDIUM,108.41,109.21,0.738,RIGHT,2015-09-18,BACKFILL
2015-09-17,QQQ,FLAT,-0.85,LOW,98.86,97.46,-1.416,RIGHT,2015-09-18,BACKFILL
2015-09-18,BTC,FLAT,-6.63,HIGH,232.98,227.09,-2.528,RIGHT,2015-09-21,BACKFILL
2015-09-18,GLD,HELD,-2.32,MEDIUM,109.21,108.53,-0.623,WRONG,2015-09-21,BACKFILL
