day,dir,entry,exit,qty,pnl,pnl_gross,stop_dist,why,min_in,min_out,R,R_gross,atr,market
2010-11-29,-1,2118.0,2131.308035714286,19,-528.8853571428596,-486.7053571428596,12.808035714285714,stop,600,640,-1.086664342976652,-1.000000000000005,51.232142857142854,NQ
2011-03-07,-1,2347.5,2324.3,20,903.5999999999927,947.9999999999927,9.875,target,635,695,2.2875949367088424,2.3999999999999817,39.5,NQ
2011-04-18,-1,2261.25,2271.9553571428573,20,-452.6142857142935,-408.2142857142935,10.205357142857142,stop,595,830,-1.1087664041994942,-1.0000000000000193,40.82142857142857,NQ
2011-08-01,-1,2343.0,2355.285714285714,20,-515.8285714285688,-471.42857142856883,11.785714285714286,stop,600,620,-1.0941818181818126,-0.9999999999999944,47.142857142857146,NQ
2012-04-16,-1,2671.75,2662.25,20,355.6,400.0,11.236607142857142,time,590,950,0.7911640842272548,0.8899483512117601,44.94642857142857,NQ
2012-09-06,1,2799.5,2818.7357142857145,20,745.0285714285798,789.4285714285797,8.223214285714286,target,595,660,2.2650162866449763,2.4000000000000252,32.892857142857146,NQ
2012-09-14,1,2856.5,2848.7321428571427,20,-335.1142857142935,-290.7142857142935,7.267857142857143,stop,590,945,-1.1527272727272995,-1.0000000000000269,29.071428571428573,NQ
2012-10-01,1,2819.25,2811.3883928571427,20,-338.8642857142935,-294.4642857142935,7.361607142857143,stop,600,640,-1.150782292298389,-1.0000000000000264,29.446428571428573,NQ
2012-10-17,1,2774.0,2764.1473214285716,20,-418.50714285713764,-374.10714285713766,9.352678571428571,stop,600,825,-1.1186825775656186,-0.9999999999999861,37.410714285714285,NQ
2012-11-01,1,2673.75,2680.5,20,245.6,290.0,9.611607142857142,time,620,950,0.6388109614491408,0.754296330701347,38.44642857142857,NQ
2012-11-09,1,2590.0,2579.4821428571427,20,-445.1142857142935,-400.7142857142935,10.017857142857142,stop,640,820,-1.1108021390374527,-1.0000000000000195,40.07142857142857,NQ
2012-12-06,1,2649.0,2657.0,20,295.6,340.0,9.785714285714286,time,635,950,0.7551824817518249,0.8686131386861313,39.142857142857146,NQ
