day,dir,entry,exit,qty,pnl,pnl_gross,stop_dist,why,min_in,min_out,R,R_gross,atr,market
2011-07-11,-1,2375.0,2360.0,17,489.26,527.0,14.25,time,615,955,1.0098245614035088,1.087719298245614,40.839285714285715,NQ
2011-07-18,-1,2334.25,2341.5,14,-220.07999999999998,-189.0,17.25,time,605,955,-0.45565217391304347,-0.391304347826087,41.142857142857146,NQ
2011-07-25,1,2419.0,2421.5,15,56.7,90.0,16.5,time,605,955,0.11454545454545455,0.18181818181818182,42.392857142857146,NQ
2011-08-01,-1,2343.0,2350.5,4,-64.88,-56.0,50.75,time,600,955,-0.15980295566502462,-0.13793103448275862,47.142857142857146,NQ
2011-08-08,-1,2117.5,2059.75,5,571.4,582.5,44.0,time,620,955,1.2986363636363636,1.3238636363636365,51.55357142857143,NQ
2011-08-15,1,2207.0,2185.25,11,-491.92,-467.5,21.25,stop,620,675,-1.0522352941176472,-1.0,68.26785714285714,NQ
2011-08-22,-1,2062.25,2042.25,11,426.58,451.0,22.25,time,605,955,0.8714606741573033,0.9213483146067416,75.21428571428571,NQ
2011-08-29,1,2206.75,2221.75,10,287.8,310.0,24.5,time,620,955,0.5873469387755103,0.6326530612244898,85.76785714285714,NQ
2011-09-06,1,2133.0,2115.5,14,-507.08,-476.0,17.0,stop,600,630,-1.0652941176470587,-1.0,102.76785714285714,NQ
2011-09-12,1,2172.5,2135.0,6,-457.32,-444.0,37.0,stop,605,850,-1.03,-1.0,105.625,NQ
2011-09-19,1,2278.0,2303.0,10,487.8,510.0,23.25,time,670,955,1.0490322580645162,1.096774193548387,106.94642857142857,NQ
2011-09-26,-1,2177.25,2216.0,6,-472.32,-459.0,38.25,stop,605,935,-1.0290196078431373,-1.0,111.71428571428571,NQ
2011-10-03,1,2140.75,2104.75,7,-512.54,-497.0,35.5,stop,605,775,-1.0312676056338028,-1.0,113.17857142857143,NQ
2011-10-10,1,2252.75,2273.25,12,477.36,504.0,20.5,time,600,955,0.9702439024390244,1.024390243902439,122.625,NQ
2011-10-17,-1,2349.0,2330.75,18,635.04,675.0,13.5,time,615,955,1.3066666666666666,1.3888888888888888,133.875,NQ
2011-10-24,1,2358.75,2379.25,11,437.58,462.0,21.75,time,610,955,0.9144827586206896,0.9655172413793104,137.32142857142858,NQ
2011-10-31,1,2380.25,2364.25,16,-531.52,-496.0,15.5,stop,630,915,-1.0716129032258064,-1.0,134.60714285714286,NQ
2011-11-07,-1,2344.5,2362.5,14,-521.08,-490.0,17.5,stop,620,910,-1.0634285714285716,-1.0,129.53571428571428,NQ
2011-11-14,1,2354.5,2339.0,16,-515.52,-480.0,15.0,stop,605,735,-1.074,-1.0,111.92857142857143,NQ
2011-11-21,-1,2201.5,2209.75,10,-177.2,-155.0,24.25,time,605,955,-0.365360824742268,-0.31958762886597936,103.80357142857143,NQ
2011-11-28,1,2225.75,2224.5,10,-37.2,-15.0,24.5,time,615,955,-0.07591836734693878,-0.030612244897959183,94.07142857142857,NQ
2011-12-05,1,2340.0,2321.0,13,-509.86,-481.0,18.5,stop,625,905,-1.06,-1.0,91.55357142857143,NQ
2011-12-12,-1,2275.75,2290.5,14,-430.08,-399.0,17.0,time,600,955,-0.9035294117647058,-0.8382352941176471,95.82142857142857,NQ
2011-12-19,-1,2234.5,2211.0,20,915.6,960.0,12.25,time,645,955,1.8685714285714285,1.9591836734693877,96.05357142857143,NQ
2011-12-27,1,2292.0,2288.5,16,-131.52,-96.0,15.5,time,600,955,-0.2651612903225807,-0.1935483870967742,93.14285714285714,NQ
2012-01-09,-1,2347.25,2347.5,18,-30.96,9.0,13.25,time,645,955,-0.0649056603773585,0.018867924528301886,81.375,NQ
2012-01-17,1,2397.0,2389.0,20,-344.4,-300.0,7.5,stop,630,890,-1.148,-1.0,66.92857142857143,NQ
2012-01-23,1,2450.25,2432.75,14,-507.08,-476.0,17.0,stop,600,695,-1.0652941176470587,-1.0,64.35714285714286,NQ
2012-01-30,-1,2431.5,2443.0,20,-484.4,-440.0,11.0,stop,610,645,-1.1009090909090908,-1.0,66.69642857142857,NQ
2012-02-06,1,2520.25,2525.0,20,165.6,210.0,8.75,time,600,955,0.47314285714285714,0.6,66.08928571428571,NQ
2012-02-13,-1,2558.25,2566.25,20,-344.4,-300.0,7.5,stop,620,825,-1.148,-1.0,67.91071428571429,NQ
2012-02-21,1,2594.25,2582.5,20,-494.4,-450.0,11.25,stop,630,850,-1.0986666666666667,-1.0,57.392857142857146,NQ
2012-02-27,1,2592.25,2607.75,18,536.04,576.0,13.25,time,605,955,1.1237735849056603,1.2075471698113207,53.75,NQ
2012-03-05,1,2643.0,2635.25,20,-334.4,-290.0,7.25,stop,600,620,-1.153103448275862,-1.0,47.964285714285715,NQ
2012-03-12,-1,2642.75,2648.0,20,-234.4,-190.0,8.25,time,600,955,-0.7103030303030303,-0.5757575757575758,46.55357142857143,NQ
2012-03-19,1,2719.75,2728.25,20,315.6,360.0,12.25,time,695,955,0.6440816326530613,0.7346938775510204,43.07142857142857,NQ
2012-03-26,1,2748.75,2773.5,20,965.6,1010.0,6.0,time,605,955,4.023333333333333,4.208333333333333,43.17857142857143,NQ
2012-04-02,1,2756.25,2779.5,20,905.6,950.0,12.5,time,600,955,1.8112000000000001,1.9,43.625,NQ
2012-04-09,1,2735.25,2736.5,15,19.2,52.5,16.25,time,620,955,0.039384615384615386,0.1076923076923077,43.32142857142857,NQ
2012-04-16,-1,2663.0,2666.25,5,-38.6,-27.5,46.75,time,610,955,-0.0825668449197861,-0.058823529411764705,44.94642857142857,NQ
2012-04-23,-1,2633.25,2653.25,12,-494.64,-468.0,19.5,stop,605,870,-1.0569230769230769,-1.0,49.30357142857143,NQ
2012-05-07,1,2637.5,2635.5,12,-62.64,-36.0,20.75,time,620,955,-0.1257831325301205,-0.07228915662650602,51.142857142857146,NQ
2012-05-14,-1,2586.5,2597.75,20,-474.4,-430.0,10.75,stop,610,650,-1.1032558139534883,-1.0,53.857142857142854,NQ
2012-05-21,1,2494.25,2542.25,14,1326.92,1358.0,17.75,time,605,955,2.669859154929578,2.732394366197183,54.30357142857143,NQ
2012-05-29,1,2550.0,2539.5,20,-444.4,-400.0,10.0,stop,605,720,-1.111,-1.0,59.017857142857146,NQ
2012-06-04,-1,2448.25,2476.0,7,-397.04,-381.5,31.75,time,600,955,-0.8932283464566929,-0.8582677165354331,58.82142857142857,NQ
